id,latin_word,czech_translation
1772,expedio,"vykonat, umožnit ; vytahovat, vyndávat ; připravit k boji ; prospívat ; (expedit) prospívá, je na prospěch, [DZ hodí se, je lépe, je vhodné (např. v Mt 19,10)]"
1773,expedio,"vyprostit, vysvobodit ; vymotat, zbavit pout ; pas. zachránit se, utéct, uprchnout, uniknout ; vymrštit ; konat, provádět (něco obtížného), vyřizovat, uvést do pořádku ; vypravovat ; dovozovat, ukazovat, vykládat, vyložit (řečí) ; připravovat, chystat"
1774,expeditus,"mít větší přehled, připravený k boji, pohotový"
1775,expeditus,pohodlný
1776,expeditus,"pohodlný, volný"
1777,expeditus,"vybavený k boji, připravený k boji"
1778,expensa,"vynaložené peníze, náklad, náklady, vydání, výlohy ; strava"
1779,experior,"zkoušet, zkoumat, okusit, zakusit"
1780,expers,"prostý čeho, nemající co, nedisponující čím"
1781,explicit,"končí... [bývá uváděno na koncích díla ; končí, tak se to většinou překládá, např. Spunar]"
1782,explicit,"končí..., zde končí..., konec (bývá uváděno na konci díla) (""končí"" překládá např. Spunar, ""konec"" Regula Benedicti / Řehole Benediktova 1998)"
1783,explorator,vyzvědač
1784,exploro,"prozkoumat, vyzkoumat"
1785,exponens,vysvětlující (gram. a log.)
1786,exponens,pronajímatel
1787,exponens,vysvětlující propozice	fil.
1788,expono,"dávat k dispozici ; vydat na pospas čemu, vystavit čemu, vydat všanc ; nařknout, obvinit ; sít, sázet ; vystavit (listinu) ; odložit, pohodit dítě	Pražák, LMALB, DZ"
1789,expono,"usilovat o co, účastnit se čeho, věnovat se čemu ; dát, odevzdat, pronajmout ; zastavit, dát do zástavy ; zrušit zápis, vymazat ; vynakládat (zejm. peníze), platit, utrácet ; vybavit, zařídit (místnost apod.) ; svěřit (koho komu)	Pražák, LMALB, DZ"
1790,expono,"vykládat, interpretovat, vysvětlovat, ukazovat, líčit ; vystavovat, pokládat ven ; stavět na odiv ; vykládat na prodej ; vyložit, složit, vylodit (lodní náklad), vysadit na břeh (cestující z lodi) ; nalodit (tak LMALB vedle ""vylodit"")	Pražák, LMALB, DZ"
1791,expono,vystoupit
1792,expressa licentia in scriptis obtenta,výslovné písemné svolení
1793,expresse,"výrazně, zřetelně ; výslovně, otevřeně, jasně	Pražák a DZ"
1794,exprimo,"vymačkat, vytlačit, vytvořit"
1795,exquiro,"vyhledat, vynalézt, vypátrat"
1796,exsequor,"následovat, provázet ; vykonávat, provádět, plnit, vyřizovat ; vypátrat, vyzvědět, vyšetřovat ; stíhat, mstít, sledovat (za účelem trestu)"
1797,exsisto,"vystoupit ; vynořit se, vystoupit (zejm. z vody, země) ; vzcházet, zvedat se, vyvstat, vzejít, objevit se, vyrůst, vyprýštit, povstat, vzniknout ; vznikat, objevit se, nastat, vyskytnout se, povstat ; stát se ; osvědčit se jako ; být, existovat, vyskytova"
1798,exsisto,"vzejít, vzniknout, vynořit se"
1799,exspuo,poplivat
1800,exsto,"vyčnívat, vynikat ; zřetelně se jevit, být patrný, být zjevný ; být, existovat"
1801,exsto,"být vyzdvižen ; vyčnívat, vynikat ; být zřejmý, zřetelně se jevit, být zjevný, existovat, být patrný, ukázat se jako (RS 56:3: uituperabiles extiterunt)"
1802,exsto,"být vyzdvižen ; vyčnívat, vynikat ; být zřejmý, zřetelně se jevit, být zjevný, existovat, být patrný"
1803,extendo,"natáhnout, napřáhnout, vztáhnout ; rozpínat, roztahovat, rozšiřovat, natahovat, rozestírat ; rozpřahovat ; rozšiřovat se, zvětšovat se, roztahovat se, rozvinout ; rozestavit, rozvinout (např. šik) ; protahovat, prodlužovat (čas.)	Pražák a LMALB"
1804,extendo,"rozkládat se, táhnout se (o krajinách apod.) ; rozšiřovat, zvyšovat, zvětšovat ; zřídit, rozbít (tábor) ; rozetřít ; zvyšovat (tón) ; skládat se z čeho, spočívat v čem, činit, obnášet (o částce, polní míře ; pas. či refl.)	Pražák a LMALB"
1805,extendo,"vztahovat se na koho, co ; vykládat, šířit o čem ; tvrdit, vykládat ; snažit se, usilovat o co ; zdvihnout, zvednout	Pražák a LMALB"
1806,exterius,"vně, vnějškově"
1807,extiti (sic),"(viz exsto, exsisto)"
1808,extra ordinem,mimořádně
1809,extraho,"vytahovat, vytrhnout co ; vyprostit, dostat koho odkud, vysvobodit ; vyrvat, násilně odejmout ; protahovat, zdržovat, prodlužovat, oddalovat ; mařit, marně trávit (čas), promarnit, přijít nazmar (v pas.)"
1810,extraneus,"cizí, přespolní"
1811,extrema unctio f.,"pomazání nemocných, poslední pomazání"
1812,extremum iudicium n.,poslední soud	takto albilyon 271:101
1813,extremus,nejzazší
1814,extruo,"nakupit, nastavět"
1815,extumulo,exhumovat
1816,exuo,"svléci, odložit ; odložit co, vzdát se čeho ; zbavit se čeho, setřást co (např. jho) ; odejmout co komu, svléci co komu, obrat, oloupit koho o co, zbavit"
1817,exuro,"spálit, vypálit"
1818,faber armorum m.,zbrojíř
1819,faber cultellorum m.,"nožíř, výrobce nožů"
1820,faber cupri m.,"kovář mědi, mosazi, mědnář (sic)	LMALB"
1821,faber falcastrorum m.,"výrobce kos, kosař (sic)	LMALB"
1822,faber ferri m.,"kovář, kovář železa"
1823,faber gladiorum m.,mečíř
1824,faber telorum m.,šípař
1825,faber,"dokonalý, mistrovský (o věcech) ; nadaný, chytrý, důvtipný (o člověku)"
1826,faber,"řemeslník, výrobce, umělec zpracovávající tvrdý materiál (dřevo, kámen, kov apod.) ; pilobřich ostnitý (druh ryby) ; mužské vlastní jméno	LMALB"
1827,fabulor,"hovořit, povídat, vyprávět ; tlachat"
1828,fabulosus,"bájný, vybájený, vymyšlený (LMALB) ; milující báje? (fabulosi Britones ; DZ)"
1829,facere se + ak.,"předstírat co, dělat se jakým, stavět se jakým"
1830,facinus,"čin, skutek, přečin"
1831,facinus,"čin, skutek, přečin, zločin"
1832,facinus,"čin, skutek, přečin, zložin"
1833,facio,"dělat, činit, robit, zhotovovat ; stavět ; tvořit ; dát si dělat, nechat si udělat ; dělat se jakým, stavět se jakým ; skládat (verše) ; získávat, opatřovat, shánět, vydělat ; konat, vykonávat, provádět, pořídit"
1834,facio,"spáchat, provést, dopustit se ; obětovat, konat oběť ; způsobit, přivodit ; dávat, poskytovat ; působit ; činit, dělat, ustanovovat, volit koho čím ; cenit, vážit si ; dělat, činit, jednat, být činný ; jednat, počínat si, vést si, chovat se"
1835,factio,"strana, spolek, rozkoly, různice"
1836,factio,"strana, spolek, skupina, dělání, konání"
1837,factu,opravdu
1838,factum,"čin, skutek ; výkon, práce ; služby ; případ, příhoda, událost [DZ: též zřejmě situace, záležitost, ač Pražák neuvádí]"
1839,facultas,"možnost, příležitost"
1840,facultas,"prostředky, jmění, možnost"
1841,facultas,"prostředky, jmění, zásoba, možnost"
1842,facultas,"to, co mám (1K 13,3)"
1843,fallacia,"klamavost, klamání, klam, šalba, podvod, přetvářka, úskok, pleticha"
1844,fallendo,"podfukem, klamně"
1845,fallo,klamat
1846,falsifico,"padělat, zfalšovat, falzifikovat"
1847,falsum,"klam, lež, nepravda, výmysl, klamná pověst ; mýlka ; podvod, klam, pokrytectví, přetvářka, přetvařování"
1848,fama,"řeč, pověst, vypravování, vyprávění, mluvení, zpráva, podání, tradice ; vyprávěnka, báchorka ; fáma ; úsudek ; veřejné mínění, hlas lidu, soud lidu ; dobrá pověst, dobré jméno, čest, sláva ; špatná pověst"
1849,fames,hlad
1850,familiaris,přítel
1851,familiaris,přítel
1852,famula,"služebná	Lansing, Power and Purity"
1853,farzellum,"(Fournier I, 312)"
1854,fas = fatum,"osud, řízení"
1855,fastigate,šikmo
1856,fateor,"vyznávat, přiznávat se, hlásit se (alqd k čemu) ; vyznávat se z čeho, nezapírat ; prohlašovat, hlásat, pronášet, vypovídat ; projevovat, dávat najevo, prozrazovat, ukazovat"
1857,faveo,"přát, být nakloněn"
1858,felicitas,úspěch
1859,felicitas,válečné štěstí
1860,fera,"divoké zvíře, zvěřina"
1861,fere,"asi, přibližně, skoro"
1862,fere,"asi, přibližně, skoro, téměř, přímo (při určení počtu, času, vlastnosti apod. ; bývá za slovem, ke kterému se vztahuje) ; obyčejně, zpravidla, skoro vždy, skoro všude, vůbec, vesměs, povětšinou"
1863,fere,"obyčejně, zpravidla, vůbec"
1864,fere,"skoro, velmi, zpravidla"
1865,fere,"téměř, skoro, velmi, zpravidla"
1866,ferrum,železný hrot (u šípu či kopí)
1867,ferus,"divoký, surový, krutý, nevzdělaný, hrubý, necitelný"
1868,festinantia,"spěch, kvap	MLLM"
1869,festine,"(adv.) spěšně, nakvap	MLLM"
1870,festino,"(intrans.) spěchat, pospíchat, chvátat, kvapit ; (trans.) (alqd) spěchat s čím, spěšně dělat co, pospíšit s čím, uspíšit co, urychlit co	Pražák ; MLLM nic"
1871,festivo,"slavit, světit (slavnost)	MLLM vč. keep holy"
1872,festum Ramispalmarum,"Květná neděle	DZ ex Fournier I, 195"
1873,festum,"svátek, slavnost"
1874,fibula,"skoba, svor"
1875,ficta,nesmysly
1876,fideliter,věrně
1877,fideliter,"věrně, spolehlivě, jistě, upřímně, oddaně ; poctivě, svědomitě"
1878,fidem facere,"dojít víry, uvěřit někomu (pas.)"
1879,fidenter,"sebevědomě, směle, odhodlaně, srdnatě, jistě, neohroženě"
1880,fides,"dané slovo, slib"
1881,fides,ochrana
1882,fides,"pravdivost, pravda, opravdovost, pravděpodobnost ; potvrzení, stvrzení, důkaz ; jistota, záruka ; slib, ujištění, dané slovo ; slib, zaručení bezpečnosti, ochrana, záštita"
1883,fides,"víra, důvěra"
1884,fides,"víra, důvěra, věření, uvěření ; úvěr ; věrnost, oddanost, spolehlivost, hodnověrnost, poctivost, spravedlnost, svědomitost, čest, dobré jméno, dobrá vůle"
1885,fides,struna
1886,fides,"struny, strunný nástroj, lyra, kithara"
1887,fido,"věřit, důvěřovat komu (alci, ale též re) ; mít důvěru ; osmělovat se, odvažovat se (s inf.) ; být přesvědčen, že"
1888,fiducia,důvěra
1889,figura,"podoba, útvar"
1890,fingo,"předstírat, fingovat, vymýšlet si ; tvořit, utvářet, vytvářet, dělat, vyrábět, dávat hmotě tvar ; pořádat, rovnat ; myslit, tvořit v mysli, představovat si (Platón si duši představoval jako třídílnou)"
1891,fingo,"tvořit, utvářet, vytvářet, dělat, vyrábět, dávat hmotě tvar ; pořádat, rovnat ; myslit, tvořit v mysli, představovat si (Platón si duši představoval jako třídílnou)"
1892,fingo,"tvořit, předstírat"
1893,fingo,"tvořit, předstírat, vymýšlet si"
1894,finio,"určovat, vyměřovat, stanovit"
1895,finitimus,sousední
1896,fio,"probíhat, stávat se"
1897,firmamentum caeli n.,nebeská klenba
1898,fistuca,"palice, tlouk, beran"
1899,flagitium,"chlípnost, vilnost, chtíč, žádost ; nemravnost ; smilství ; hanebnost, ohavnost, neřest, ničemnost, nestoudnost ; neřest, mrzký čin, hanebný čin, zlořád ; hanba, potupa, skvrna ; neřestník, padouch, ničema"
1900,flagito,"vyžadovat, naléhat, dožadovat se"
1901,flavens,"žlutý, žlutavý ; (o vlasech) plavý, světlý	Pražák"
1902,flaveus,"(Pražák nic, MLLM nic)"
1903,flecto,"ohýbat, zahýbat, sklánět, kroutit, křivit ; napínat ; zatáčet, otáčet, obracet, uhýbat, namířit, změnit směr, zamířit, uhnout ; řídit ; ohýbat, obracet jinam, uchylovat, měnit (smýšlení) ; pohnout, umírnit, obměkčit, oblomit, dojmout, přivést k povolnosti"
1904,flecto,obrátit
1905,fletus,pláč
1906,flexio,"ohýbání, ohnutí ; ohýbání hlasu, modulace ; záhyb (cesty) ; zacházka, oklika	Pražák nic víc"
1907,flexus genu,pokleknuv
1908,Florencia,Florencie
1909,florens,"vynikající, kvetoucí"
1910,Florentinus,florentský
1911,flos aeris,měděnka
1912,fluctus,vlna
1913,fluctus,"vlna, vlnobití"
1914,fluo,"přejít na koho, připadnout komu ; klesnout (k zemi) ; být v pohybu ; splývat (o vlasech, šatech) ; poletovat, vlát, vléct se	Pražák a LMALB"
1915,fluo,"téct, proudit, plynout, řinout se ; proudit, valit se (o davu) ; být tekutý ; téct, přetékat ; přetékat, oplývat čím, plavat, koupat se, topit se v čem ; být zbrocen, být zmáčen, být promočen ; vlhnout ; valit se, hrnout se, hnát se ; krvácet ; trpět polu	Pražák a LMALB"
1916,fluo,"vyplývat, plynout odkud, vyvíjet se z čeho ; plynout kam, směřovat kam ; rozplývat se, roztékat se, šířit se, rozplizovat se, rozpadávat se, mizet, pomíjet ; ochabovat, malátnět, slábnout ; vyklouznout (z rukou apod.) ; plynout (o řeči, čase aj.) ; dařit 	Pražák a LMALB"
1917,foedo,"zohavit, znetvořit, poskvrnit, potřísnit, zmrzačit, poskvrnit, zneuctít, znesvětit ; kazit, porušovat ; trýznit"
1918,foedus,"šeredný, ošklivý, ohyzdný, hnusný, odporný, ohavný ; mrzký, sprostý ; hrozný, krutý"
1919,foedus,smlouva
1920,foemina,žena (form. femina)
1921,foetor,smrad
1922,folratura,"(Fournier I, 315)"
1923,foramen,"díra, otvor, dírka"
1924,foramen,(MLLM nic)
1925,foramen,"díra, otvor ; dírka <n.(u dechových nástrojů	sic, n."
1926,foramen,"díra, otvor, dírka ; dírka (u dechových nástrojů), vyvrtaná díra"
1927,foramen,ouško (jehly apod.)	DZ ex Vg
1928,fore,"[budoucí infinitiv od esse, náhrada za futurum esse]"
1929,forefacio,"chybovat, dopouštět se přestupku ; páchat ; poškozovat, ničit	LMALB"
1930,forma,"vlastnost, povaha, duch ; představa, pojem, ideál ; tělo [DZ ; např. DHC 310:26 či Int. Ioh.]"
1931,forma,"vnější tvar, obrysy ; vzezření, vzhled, zjev, podoba, tvář, tvářnost ; forma ; obraz, obrazec, nákres ; obličej ; krásný zevnějšek, sličnost, spanilost, lepost, krása, pohlednost ; způsob ; sta ; ráz, výraz, znak, sloh"
1932,formido,"hrůza, strach ; posvátná hrůza, posvátná bázeň, bázeň Boží ; postrach, strašák"
1933,formo,"utvořit, vytvářet, tvořit, odlévat, vytesat, zpracovávat, formovat ; uspořádat, strojit, pořádat ; krášlit, zdobit, šlechtit ; uzpůsobovat, vzdělávat, učit, pěstovat"
1934,fornicatio,"kopulace, soulož"
1935,fors f. (jen nom. sg. a abl. forte),"náhoda, osud"
1936,forsan,"snad, možná"
1937,forsitan,možná
1938,forsitan,"snad, možná"
1939,fortasse,"snad, možná, pravděpodobně, jak se zdá, jak myslím, podle všeho, nejspíš, asi ; asi (u číselného údaje)"
1940,fortassis,"snad, možná, pravděpodobně, jak se zdá, jak myslím, podle všeho, nejspíš, asi ; asi (u číselného údaje)	zř."
1941,forte,"náhodou ; zrovna, právě ; maně, nazdařbůh, naslepo, slepě ; jednou (uváděcí slovo vyprávění) ; snad (ve spojení s ne, si, sin, nisi a básnicky i jinde) ; málem (forte dixit Tiberius = ""il échappa ŕ Tiber de dire ; o tom Pražák neuvádí nic)	Pražák ani Šenková nic víc"
1942,fortes Fortuna adiuvat,odvážnému štěstí přeje (Cicero)
1943,fortuna adversa,"neštěstí, nezdar, nehoda, neúspěch"
1944,fortuna secunda,štěstí
1945,fortuna,"Fortuna, ae, f. Štěstěna, bohyně štěstí ; (střv.) právo na nalezené poklady ; (střv.) nástrahy moře (MLLM jen jako fortuna maris, ale i vypouštěno: Bech, ed. Šanjek, Bosansko-humski..., 140 ; dle MLLM od 13. stol.)	Pražák, MLLM"
1946,fortuna,"osud ; úděl (daný osudem) ; příležitost ; štěstí ; neštěstí ; rozhodnutí, výsledek ; stav, postavení, poměry, okolnosti ; (obvykle pl.) majetek, jmění, bohatství ;"
1947,fortunae,majetek
1948,fortunatus,"bohatý, zámožný, blažený"
1949,fossa,příkop
1950,fossata,příkopy
1951,fovea,jáma
1952,fractio panis,lámání chleba
1953,fractus,"zlomený, zesláblý"
1954,Franci,Frankové
1955,Francia,Francie
1956,Francigena,"(etnonym.) Francouz (LMALB nic víc, Frank neuveden ; Pražák nic ; MLLM nic, sic)"
1957,Francigena,(Pražák nic)
1958,Francigena,"Francouz (sic!)	LMALB nic víc, Frank neuveden!"
1959,Francigenae,Frankové
1960,francigenum,francouzština	LMALB
1961,Francigina,Francouz (sic!)	LMALB nic víc
1962,Francus,"(Pražák nic, ani Franci nic)"
1963,francus,"frank (zlatá francouzská mince ; LMALB význam Frank neuvádí, ani Franci nic ; jde o diferenční slovník a navíc místně omezený)"
1964,frango,"rozbít, přerazit, polámat"
1965,fraterna,"(střv.) (domácnost, v níž žijí společně sourozenci a jejich rodiny)	Lansing, PP, 51"
1966,fraternus,bratrský
1967,fratres predicatores,"bratři kazatelé, dominikáni"
1968,freda et tributa,poplatky a dávky
1969,fremitus,"křik, řev"
1970,frequens,v hojném počtu
1971,frequentare alqd,chodit kam
1972,frequenter,často
1973,frequento,"často dělat, opětovat, být častým jevem, často se stávat, často docházet (k čemu)"
1974,frequento,"plnit, naplňovat, zaplňovat ; oživovat, naplňovat (lidmi), zaplňovat, osazovat, osidlovat ; hojně navštěvovat, hrnout se kam ; provázet ; obklopovat ; shromažďovat ; shromažďovat se, shlukovat se ; účastnit se, slavit"
1975,frequento,"zalidňovat, plnit"
1976,fretus,spoléhající se
1977,frigidus,"studený, chladný"
1978,frigus,"chlad, zima"
1979,frons,čelo
1980,frons,listí ; věnec (bás.)
1981,front,"čelo ; výraz obličeje, zevnějšek ; průčelí, přední strana ; šířka ; titulní strana ; čelo, fronta (voj.)"
1982,fructifer,"plodný, nesoucí plody"
1983,fructus vetitus m.,zakázané ovoce
1984,fructus,úrok
1985,frui,"užívat (těšit se z něčeho pro věc samotnou, jiné je uti, kde se věc užívá pro něco jiného)"
1986,frumentarius,"úrodný, hojný, bohatý obilím"
1987,frumentor,"opatřovat obilí, zásobovat obilím"
