id,czech_word,english_translation
2071,rodinný příslušník,dependent (member of a family)
2072,rodná řeč,"mother-tongue, native tongue/lan­ guage"
2073,rodná země,"native country, country ofbirth"
2074,rodné jméno,maiden name
2075,rodný list,birth certificate
2076,rodová šlechta,hereditary peerage/nobility/gentry
2077,rodový původ,"descent, origin, parentage"
2078,rodokmen přímé mužské linie,pedigree in direct male line
2079,rodokmen přímé linie,direct lineage pedigree
2080,rodokmen rodové větve,pedigree of the
2081,rohy,"horns (heral.), see also zbroj"
2082,jubilejní rok,"Jubilee year, see also milostivé léto (rel.)"
2083,letošního roku,see letos
2084,přítomný rok,present year
2085,roční období,season
2086,rok narození,year of birth
2087,rok od inkarnace,year of the Incarnation (rel.)
2088,rok od narození Páně,see léta Páně
2089,rok úmrtí,year of death
2090,rok vydání,year of issue/publication
2091,solární rok,solar year (chron.)
2092,rolník,"subst. peasant, farmer (male)"
2093,Rom,Romany
2094,rota,company
2095,rotmistr,regimental sergeant major/sergeant-major
2096,rotný,company sergeant major/warrant officer/ sergeant 1st class
2097,jarní rovnodennost,the spring/vemal equinox
2098,podzimní rovnodennost,the autumnal equinox
2099,Rozeslání apoštolů,Division of Apostles (July 15)
2100,rozhodčí,arbitrator
2101,rozhojnění erbu,see polepšení erbu
2102,rozhřešení,absolution
2103,rozchod,separation
2104,rozkaz,"1. order, command, mandate"
2105,rozkladatelné palandy,berths (used on ships by passangers - emmigrants)
2106,rozluka,divorce (dissolution of connubial duties)
2107,rozpad červených krvinek,disintegration of red blood cells
2108,rozpálení plic,see zánět plic
2109,rozplozovat (se),to reproduce
2110,rozptyl,see rozsev
2111,rozrod,issue of a married couple
2112,rozsev,dispersion
2113,rozsudek,"verdict, sentence"
2114,osvobozující rozsudek,verdict of non-guilty
2115,rozšíření průdušek,bronchiectasis (med.)
2116,rozvod,subst. divorce (legal separation when a marriage bond is dissoluted)
2117,rozvod z viny manžela,divorce for wife
2118,rozvod z viny manželky,divorce for husband
2119,rozvodový,adj. divorce
2120,rozvodová pře,divorce suit
2121,ručit,to stand guarantee for
2122,ručitel,guarantor
2123,ruda,ore
2124,ruina,see zřícenina
2125,ruka Páně ho ranila,see krvácení mozkové
2126,rukovat,see narukovat
2127,rukověť,handbook
2128,rustikál,rustical (hist.)130
2129,rustikální,rustic
2130,rybník,"pond, pool"
2131,rygle,see spalničky
2132,královský rychtář,bailiff (hist.)131
2133,Řád podvazkový,the Most Nohle Order of the Garter
2134,Řád zlatého rouna,Order of the Golden Fleece
2135,žebravé řády,see mendikantské řády
2136,řádový,of the (holy) order
2137,řádová škola,church school
2138,řeholní,adj. regular
2139,řemenář,strap-maker
2140,řemeslník,"handicraftsman, artisan, tradesman, craftsman"
2141,řemeslo,(handi)craft
2142,řeřátek,see karbunkl
2143,řetězokovář,chainmaker
2144,řidičský průkaz,see průkaz
2145,říjen,October
2146,římský,Roman
2147,svatá říše římská národa německého,the Holy Roman Empire of the German Nation
2148,říšský,imperial
2149,říšský protektor,Reichsprotector
2150,sádky,fish-hatchery
2151,sága,saga
2152,sáh,length measure (metrol.)
2153,český sáh,Bohemian sáh (= 3 Bohemian ells)
2154,moravský starý sáh,Moravian old sáh
2155,Salcbursko,(Region of) Salzburg (Austria)
2156,salesián,Salesian
2157,salutace,salutation (greeting)(dipl.)
2158,salmonelóza,salmonellosis (med.)
2159,samospráva,"self-administration/government (e.g. municipal government), autonomy"
2160,samosprávný,self-administrative (municipal)
2161,sanitář,hospital technician
2162,sankce,sanction
2163,sanytr,potassium nitrate
2164,sapér,see ženista
2165,sarkom,see nádor zhoubný
2166,Sasko,Saxony
2167,Dolní Sasko,Lower Saxony
2168,Horní Sasko,Upper Saxony
2169,saský,Saxon
2170,sazeč,type-setter
2171,sbírka,collection
2172,"sbor1. choir, chorus",2. congregation (rel.)
2173,sborník,"1. miscellany, memorial volume, procee- dings/report (of conferrence)"
2174,sčítání lidu,see soupis obyvatel
2175,sčítání obyvatel,see soupis obyvatel
2176,sebevrah,suicide (a person that killed himself)
2177,sebevražda,suicide (self-destruction)
2178,spáchat sebevraždu,to commit suicide
2179,sedlák,1. peasant (farrner)(hist.) 2. countryman
2180,sekera,axe
2181,seminář1. seminary (school for priests),2. semi
2182,Semita,Semite
2183,semitský,Semitic
2184,seno,hay
2185,senoseč,"haymaking, hay harvest"
2186,separace,separation
2187,septuagesima,Septuagesima
2188,servita,Servite
2189,milosrdná sestra,sister ofmercy (rel.)
2190,nevlastní sestra,half-sister
2191,řádová sestra,nun (rel.)
2192,řeholní sestra,see řádová sestra
2193,sestřenice,cousin (female)
2194,sešlost věkem,marasmus
2195,setník,captain (hist.)
2196,sexagesima,Sexagesima Sunday
2197,sezdávat,see oddávat
2198,seznam,"register, list, (to the book) index, roll"
2199,seznam mrtvých,death roll
2200,seznam voličů,electoral roll
2201,schematismus velkostatků,yearbook of estates135
2202,schovanec,1. foster-child (male) 2. ward
2203,schůzka,"meeting, tryst, appointment, date"
2204,sibiřský,Siberian
2205,Sibiřská magistrála,(Trans-)Siberian railroad
2206,sídlo,"1. seat 2. settlement, site"
2207,signet,signet (sigil.)
2208,silikóza,"see zaprášení plic silnice road, highway, route"
2209,sirkař,match-maker (maker of safety matches)
2210,siroba,"orphanhood, orphanage"
2211,sirota see siroba sirotčinec,"orphanage sirotčí orphan's, pupilary"
2212,sirotčí seznam,list of orphans
2213,sirotek,"orphan, fatherless/motherless child"
2214,síťař,net-maker
2215,skákající,rampant (heral.)
2216,skladatel,composer (music)
2217,skladník,stores manager
2218,sklárna,glass works
2219,sklářství,glass-industry/manufacture
2220,sklenář,glazier
2221,sklep,cellar
2222,skleróza srdečnice,sclerosis of aorta
2223,sklíčení střev,see neprůchodnost střev
2224,sklonek,close
2225,na sklonku,"towards the close, in the later part (e.g.of the 17thcentury)"
2226,skon,"demise, passing away (hist.)"
2227,skonání,see skon
2228,skvrnivka,see skvrnivka epidemická
2229,slabost (u kojence),see nedonošenost
2230,slad,malt
2231,sládek,brewer
2232,sladovna,malt(ing)-house
2233,sladovník,maltster
2234,sláma,straw
2235,slavit mši svatou,see celebrovat mši svatou
2236,slavnost,solemnity; feast
2237,slavnostní zahájení,matriculation ceremony
2238,slavobrána,triumphal arch
2239,Slavonsko,Slavonia
2240,Horní Slezsko,Upper Silesia
2241,Dolní Slezsko,Lower Silesia
2242,slezský,adj. Silesian
2243,slezská knížectví,Silesian principalities
2244,slavné sliby,solemn profession/vows
2245,slib čistoty,vow of chastity
2246,slib chudoby,vow of poverty
2247,slíbit,"to promise, to vow"
2248,slintavka (a kulhavka),foot (and mouth) disease
2249,Slovák,subst. Slovak (male)
2250,Slovan,Slav
2251,slovanský,Slavie
2252,Slovenka,subst. Slovak (female)
2253,Slovensko,Slovakia
2254,Slovenská republika,the Slovak Republic
2255,naučný slovník,"see encyklopedie, lexikon"
2256,slovo,word
2257,slovutný,renowned
2258,složit,1. to fold 2. to compose
2259,složit zbraně,to lay arms
2260,sluha (velmože),henchman
2261,Slunce,Sun
2262,sluneční,solar
2263,sluneční cyklus,see solární cyklus
2264,sluneční hodiny,sun dial
2265,sluneční reguláry,see solární reguláry
2266,slunovrat,solstice
2267,letní slunovrat,summer solstice
2268,zimní slunovrat,winter solstice
2269,mít službu,to be in charge
2270,služby boží,divine service
2271,služebná,"maid (servant), servant, domestic"
2272,služební,"acij. service, duty"
2273,služební,offi.cial quarters
2274,služební tajemství,official secret
2275,mírová smlouva,peace-treaty
2276,Mnichovská smlouva,Munich Agreement138
2277,nájemní smlouva,pledge
2278,pachtovní smlouva,lease contract
2279,trhovásmlouva,market contract (e.g. land transaction contract)
2280,urbariální smlouvy,contracts regulating taxes frorn the land property of a peasantry139
2281,smrtonosný,fatal
2282,smrtedlný,see smrtelný
2283,smuteční hostina,funeral wake
2284,smuteční oznámení,"announcement of death, rnouming-card"
2285,obléct smutek,to go into mouming
2286,český zemský sněm,the Land Diet of Bohemia140
2287,generální sněm,general assembly moravský zemský sněm the Land Diet of Moravia
2288,sněmovna,parliament
2289,dvojkomorová sněmovna,bicameral parliament
2290,Poslanecká sněmovna,Chamber of Deputies141
2291,sněť slezinná,see uhlák
2292,snop,"sheaf, stook"
2293,snoubenci,"the betrothed, engaged (couple)"
2294,snoubenec,1. fiancé 2. betrothed (male)
2295,snoubenka1. fiancée,2. betrothed (female)
2296,snubní,nuptial
2297,snubní prsten,see prsten snubní
2298,sňatečnost,marriage rate
2299,kanonickýsňatek,"canon marriage, see also náboženský sňatek, církevní sňatek"
2300,náboženský sňatek,"religious marriage, see also kanonický sňatek, církevní sňatek"
2301,pokoutnísňatek,hedge marriage (without consent)
2302,příbuzenský sňatek,kin marriage
2303,rodinný sňatek,inbreed (marriage offamily members)
2304,sňatek in extremis,marriage in extremis142
2305,sňatek z lásky,love match
2306,tajný sňatek,clandestine marriage
2307,úřední sňatek,see civilní sňatek
2308,sokol,falcon
2309,Sokol,"(=,,Falcon"") the Sokol143"
2310,soška,"figure, statuette"
2311,současnice,contemporary (female)
2312,současník,contemporary (male)
2313,soud,1. court (oflaw) 2. judgment
2314,smírčí soudce,justice ofthe peace
2315,soudní,judicial
2316,soudní dvůr,law court
2317,soudní lékař,"forensic surgeon, coroner"
2318,soudní pitva,see pitva
2319,soudní líčení,session (of a court)
2320,soudní řízení,trial
2321,soukenice,draper (female)
2322,soupis branců,conscription (milit.)
2323,soupis lidu,"(=,,register of people"") census"
2324,sourozenec,"sibling, brother or sister"
2325,spálenina,see popálenina
2326,spalničky,measles
2327,spása,salvation
2328,Armáda spásy,Salvation Army
2329,spasit,to save
2330,spisovný,literary
2331,spisový,documentary
2332,Spojené státy americké,United States of America
2333,spojenec,ally
2334,spojenectví,alliance
2335,společenské vědy,arts
2336,spolubydlící,"co-resident, roommate"
2337,spolubydlící příbuzný,coresident relative (dem.)
2338,spolužák,"schoolfellow, schoolmate, classmate"
2339,spontánní,see samovolný
2340,spor,"1. contention, feud, dissension 2. dispute"
2341,správa,administration
2342,duchovní správa,churc.h administration
2343,zemská správa,land/provincial administration
2344,správce,"administrator, keeper, custodian, curator, steward"
2345,srdce,heart
2346,srdeční,cordial
2347,srdeční štítek see štítek srdnice,see škvrkavky (hist.) srp sickle
2348,stárek,"chiefmiller, head ofmill staff(hist.)"
2349,staroba,senility
2350,starodávný,"adj. time-honoured, ancient staromládenecký bachelor's staropanenství spinsterhood"
2351,starost,see stáří (hist.)
2352,starosta,"mayor, burgermeister, chairman of the town council"
2353,starožitnost,"subst. antique, curiosity"
2354,stará panna,spinster
2355,stát při knihách gruntovních,"(=,,to stand at land registers"") to stand trial at village court (e.g. for sale of farm)(hist.)"
2356,stát se,1. to become 2. to take place/to occur/to happen (coronation took place in 1527)
2357,deskový statek,"(= ,,tabular estate"") registered estate, see also zpupný statek"
2358,královské statky,"landlord 's farm, leased by peasant (in Britain copyhold)"
2359,zakoupenýstatek,hereditary farm with holder's (peasanťs) right of succession and disposition (emphyteusis)
2360,zpupnýstatek,"allodial estate, see also deskový statek"
2361,statistika,statistics
2362,statistický,statistical
2363,statkář,"landowner, landlord, landholder"
2364,panský stav Estate ofNobility prelátský stav Estate of Prelates rodinný stav,marital status
2365,rytířský stav,Estate of Gentry
2366,vladycký stav,"Estate of Gentry (original term,"
2367,stavení,building
2368,stavitel,master builder
2369,stavovské povstání,Uprising ofthe Estates151
2370,stěhovat (se),to move (oneself)
2371,stesk,languor
2372,stesk po domově,home-sickness
2373,Stolec sv. Petra,the See of St. Peter
2374,století,century
2375,Stolování sv. Petra,Chair of St. Peter (February 22)
2376,stonat,see být nemocný
2377,stopa,foot (length measure)(metrol.)
2378,česká stopa,"Bohemian foot (= 1/2 ofBohemian ell = 29,635 cm)"
2379,moravská stopa,"Moravian foot (= 1/6 of Moravian sáh= 29,59 cm)"
2380,čtvereční stopa,square foot
2381,čtvereční česká stopa,"Bohemian square foot (= 878,233 cm2"
2382,čtvereční moravská stopa,"Moravian square foot (= 875,568 cm2"
2383,stoupa,stamp-mill
2384,stránka,see strana 1.
2385,strava,"1. fare, diet 2. food"
2386,strava a byt,board and lodging
2387,stravování,board
2388,stráž,"1. guard 2. sentinel, sentry, (hist.) watchman"
2389,strážce,"guard, custodian, keeper"
2390,strážmistr,sergeant
2391,strážník,policeman
2392,strážný,watch
2393,strom rodu duchovního,tree of a spiritual relationship
2394,struma,see nemoci štítné žlázy
2395,strunař,"stringer, string maker"
2396,strych,"1. square measure, see jitro (metro!.)"
2397,český strych,Bohemian strych (= 4 věrtels
2398,středa,Wednesday
2399,středohornoněmecký,adj. Middle High German
2400,středopostí,Mid-Lent Sunday
2401,středověk,the Middle Ages
2402,středověký,medieval
2403,stříbrňák,silver coin (hist.)
2404,stříkavka,see úplavice střevní
2405,studánka,"fountain, well"
2406,student,student (male)
2407,vysokoškolský student,undergraduate
2408,studentka,student (female)
2409,studium,"study, studies"
2410,dálkové studium,external study
2411,večerní studium,adult education
2412,studna,well
2413,studnař,well-sinker/digger
2414,stůl,table
2415,sudetský Němec,subst. Sudeten German
2416,suchá nemoc,see tuberkulóza (plicní)
2417,sušit,"to dry, to dry-kiln"
2418,svat,"matchmaker, marriage-broker (hist.)"
2419,Svatá Trojice,Trinity Sunday (the 1st after Whitsun)
2420,svatba,"wedding, nuptials, marriage"
2421,svatební,"wedding, nuptial, bridal"
2422,svatební cesta,"wedding trip, tour, usu. only honeymoon"
2423,svatební den,wedding-day
2424,svatební komnata,bride-chamber (hist.)
2425,svatební oznámení,wedding-card/announcement
2426,sváteční den,feast day
2427,svátek,feast
2428,zasvěcený svátek,boly day of obligation (rel.)
2429,svatodušní,Whitsun adj.
2430,Nejsvětější Svátost,the Blessed Sacrament
2431,svátost nemocných,see pomazání nemocných
2432,udělit svátost,to celebrate
2433,výstav Nejsvětější Svátosti,exposition ofthe Blessed Sacrament
2434,svátostný,sacramental
2435,svátostná zpověď,sacramental confession
2436,svatý,"Saint, haly"
2437,"svatý Jan St. John, also Midsummer (June 24) svatý Jiří the feast of St. George, celebrated on April 23, later 24, was a half-yearly term on which rents and rates became due, see also sv. Havel svatý Martin","the feast of St. Martin, celebrated on November 11, was a term on which rents from vineyards became due"
